table,variable,note,type
historical_revisions,effective_date_of_change,Date the change was made,character
historical_revisions,police_force,(See above),character
historical_revisions,previously_published_value,NA,character
historical_revisions,replacement_value,NA,character
historical_revisions,variable,(See police_force values in accident listings for values),character
historical_revisions,vehicle_reference,unique value for each vehicle in a singular accident. Can be used to join a Casualty to a vehicle,character
vehicle,accident_index,unique value for each accident. The accident_index combines the accident_year and accident_ref_no to form a unique ID. It can be used to join to Vehicle and Casualty,character
vehicle,accident_reference,"In year id used by the police to reference a collision. It is not unique outside of the year, use accident_index for linking to other years",character
vehicle,accident_year,NA,numeric
vehicle,age_band_of_driver,NA,character
vehicle,age_of_driver,NA,numeric
vehicle,age_of_vehicle,NA,numeric
vehicle,collision_index,unique value for each accident. The accident_index combines the accident_year and accident_ref_no to form a unique ID. It can be used to join to Vehicle and Casualty,character
vehicle,collision_reference,"In year id used by the police to reference a collision. It is not unique outside of the year, use accident_index for linking to other years",character
vehicle,collision_year,NA,numeric
vehicle,dir_from_e,field introduced in 2023,character
vehicle,dir_from_n,field introduced in 2023,character
vehicle,dir_to_e,field introduced in 2023,character
vehicle,dir_to_n,field introduced in 2023,character
vehicle,driver_distance_banding,field introduced in 2023,character
vehicle,driver_home_area_type,field introduced in 1999,character
vehicle,driver_imd_decile,field introduced in 2016,character
vehicle,engine_capacity_cc,NA,numeric
vehicle,escooter_flag,field introduced in 2023,character
vehicle,first_point_of_impact,NA,character
vehicle,generic_make_model,field introduced in 2020,character
vehicle,hit_object_in_carriageway,NA,character
vehicle,hit_object_off_carriageway,NA,character
vehicle,journey_purpose_of_driver,NA,character
vehicle,junction_location,NA,character
vehicle,lsoa_of_driver,England and Wales only. See Office for National Statistics (ONS) guidance: https://www.ons.gov.uk/methodology/geography/ukgeographies/censusgeography,character
vehicle,propulsion_code,NA,character
vehicle,sex_of_driver,NA,character
vehicle,skidding_and_overturning,NA,character
vehicle,towing_and_articulation,NA,character
vehicle,vehicle_direction_from,both vehicle_direction_from and vehicle_direction_to should be 0,character
vehicle,vehicle_direction_to,both vehicle_direction_from and vehicle_direction_to should be 0,character
vehicle,vehicle_leaving_carriageway,NA,character
vehicle,vehicle_left_hand_drive,NA,character
vehicle,vehicle_location_restricted_lane,NA,character
vehicle,vehicle_manoeuvre,NA,character
vehicle,vehicle_reference,unique value for each vehicle in a singular accident. Can be used to join a Casualty to a vehicle,character
vehicle,vehicle_type,NA,character
